Entry,Entry Name,Gene Names,Protein names,Organism,Subcellular location [CC],Gene Ontology (cellular component),Gene Ontology IDs,Ensembl
P52569,CTR2_HUMAN,SLC7A2 ATRC2 CAT2,Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9174363}; Multi-pass membrane protein {ECO:0000269|PubMed:9174363}.,cell junction [GO:0030054]; plasma membrane [GO:0005886],GO:0000064; GO:0005886; GO:0006865; GO:0015171; GO:0015174; GO:0015179; GO:0015189; GO:0015807; GO:0030054; GO:0061459; GO:0089718; GO:0097638; GO:0150104; GO:1902475; GO:1903352; GO:1903826,ENST00000004531.14 [P52569-3];ENST00000398090.3 [P52569-2];ENST00000494857.6 [P52569-1];ENST00000522656.5 [P52569-1];ENST00000640220.1 [P52569-1];
O14558,HSPB6_HUMAN,HSPB6,Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20) (Heat shock protein family B member 6),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19464326}. Nucleus {ECO:0000269|PubMed:19464326}. Secreted {ECO:0000269|PubMed:22427880}. Note=Translocates to nuclear foci during heat shock. {ECO:0000269|PubMed:19464326}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleus [GO:0005634],GO:0005212; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0009408; GO:0010667; GO:0016607; GO:0019901; GO:0042026; GO:0042803; GO:0043066; GO:0044183; GO:0045766; GO:0051082; GO:0051087; GO:0061077,ENST00000004982.6;
P43351,RAD52_HUMAN,RAD52,DNA repair protein RAD52 homolog,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993],GO:0000724; GO:0000730; GO:0003677; GO:0003697; GO:0005634; GO:0005654; GO:0006302; GO:0006310; GO:0006312; GO:0010792; GO:0032991; GO:0032993; GO:0034599; GO:0042802; GO:0045002; GO:2000819,ENST00000358495.8 [P43351-1];ENST00000430095.6 [P43351-1];ENST00000461568.5 [P43351-3];ENST00000468231.5 [P43351-3];ENST00000541619.1 [P43351-4];ENST00000544742.5 [P43351-4];ENST00000545564.5 [P43351-2];
P54819,KAD2_HUMAN,AK2 ADK2,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]",Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000255|HAMAP-Rule:MF_03168}.,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; sperm mitochondrial sheath [GO:0097226],GO:0004017; GO:0005524; GO:0005737; GO:0005739; GO:0005758; GO:0006172; GO:0015949; GO:0046033; GO:0046034; GO:0070062; GO:0097226,ENST00000373449.7 [P54819-2];ENST00000672715.1 [P54819-1];
Q02790,FKBP4_HUMAN,FKBP4 FKBP52,"Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]",Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:2378870}. Mitochondrion {ECO:0000269|PubMed:21730050}. Nucleus {ECO:0000250|UniProtKB:P30416}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9QVC8}. Cell projection, axon {ECO:0000250|UniProtKB:Q9QVC8}. Note=Shuttles from mitochondria to nucleus; co-localizes in mitochondria with the glucocorticoid receptor (PubMed:21730050). Colocalized with MAPT/TAU in the distal part of the primary cortical neurons (By similarity). {ECO:0000250|UniProtKB:Q9QVC8, ECO:0000269|PubMed:21730050}.",axonal growth cone [GO:0044295]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991],GO:0003723; GO:0003755; GO:0005524; GO:0005525; GO:0005528; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0005874; GO:0006457; GO:0006463; GO:0006825; GO:0007566; GO:0010977; GO:0030521; GO:0030674; GO:0030850; GO:0031072; GO:0031111; GO:0031115; GO:0031503; GO:0032767; GO:0032991; GO:0035259; GO:0043025; GO:0044295; GO:0046661; GO:0048156; GO:0048471; GO:0051219; GO:0061077; GO:0070062,ENST00000001008.6;
Q9NSG2,FIRRM_HUMAN,FIRRM APOLO1 C1orf112,FIGNL1-interacting regulator of recombination and mitosis (FIDGETIN-like-1 interacting protein) (FLIP) (POLO1-associating protein),Homo sapiens (Human),"SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000269|PubMed:34260926}. Nucleus {ECO:0000269|PubMed:34260926}. Chromosome, centromere {ECO:0000269|PubMed:34260926}. Midbody {ECO:0000269|PubMed:34260926}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:34260926}. Note=Exhibits cell-cycle-dependent distribution during mitosis. Detected in the nucleus in interphase. Colocalizes with PLK1 to the centromeres in a nearby prometaphase cells. Relocates to the central spindle in anaphase and to the midbody in telophase cells. {ECO:0000269|PubMed:34260926}.","chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle midzone [GO:0051233]",GO:0000278; GO:0000775; GO:0000776; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0007059; GO:0019901; GO:0030496; GO:0036297; GO:0045859; GO:0051233,ENST00000286031.10 [Q9NSG2-1];ENST00000359326.9 [Q9NSG2-1];ENST00000413811.3 [Q9NSG2-3];
O14559,RHG33_HUMAN,ARHGAP33 SNX26 TCGAP,Rho GTPase-activating protein 33 (Rho-type GTPase-activating protein 33) (Sorting nexin-26) (Tc10/CDC42 GTPase-activating protein),Homo sapiens (Human),,actin cytoskeleton [GO:0015629]; cell cortex [GO:0005938]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; fibrillar center [GO:0001650]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991],GO:0001650; GO:0005096; GO:0005654; GO:0005794; GO:0005829; GO:0005886; GO:0005938; GO:0007264; GO:0009636; GO:0014069; GO:0015031; GO:0015629; GO:0019901; GO:0032991; GO:0035091; GO:0043197; GO:0061001; GO:0098978; GO:0150052,ENST00000007510.9 [O14559-1];ENST00000314737.9 [O14559-11];ENST00000378944.9 [O14559-10];
P52756,RBM5_HUMAN,RBM5 H37 LUCA15,RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18851835}.,cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681],GO:0000245; GO:0000381; GO:0000398; GO:0003677; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005829; GO:0006396; GO:0006915; GO:0008270; GO:0008285; GO:0043065; GO:0043231,ENST00000347869.8 [P52756-1];ENST00000469838.5 [P52756-2];
O15519,CFLAR_HUMAN,CFLAR CASH CASP8AP1 CLARP MRIT,CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12],Homo sapiens (Human),,CD95 death-inducing signaling complex [GO:0031265]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; ripoptosome [GO:0097342],GO:0002020; GO:0004197; GO:0005123; GO:0005737; GO:0005829; GO:0006508; GO:0006915; GO:0007519; GO:0008047; GO:0008625; GO:0010667; GO:0010976; GO:0014732; GO:0014842; GO:0014866; GO:0030225; GO:0031264; GO:0031265; GO:0032869; GO:0033574; GO:0043066; GO:0043123; GO:0043403; GO:0043525; GO:0044877; GO:0060544; GO:0070374; GO:0071364; GO:0071392; GO:0071456; GO:0071549; GO:0071732; GO:0072126; GO:0097342; GO:1901740; GO:1902042; GO:1903055; GO:1903427; GO:1903845; GO:1903944; GO:2000347; GO:2001237,ENST00000309955.8 [O15519-1];ENST00000341222.10 [O15519-2];ENST00000341582.10 [O15519-8];ENST00000342795.9 [O15519-12];ENST00000423241.6 [O15519-1];ENST00000440180.5 [O15519-2];ENST00000443227.5 [O15519-15];ENST00000457277.5 [O15519-11];ENST00000479953.6 [O15519-3];
Q92851,CASPA_HUMAN,CASP10 MCH4,Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12],Homo sapiens (Human),,CD95 death-inducing signaling complex [GO:0031265]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; ripoptosome [GO:0097342],GO:0004197; GO:0005737; GO:0005829; GO:0006508; GO:0006915; GO:0031265; GO:0031625; GO:0035877; GO:0043123; GO:0043525; GO:0051604; GO:0097342; GO:1900119,ENST00000272879.9 [Q92851-1];ENST00000286186.11 [Q92851-4];ENST00000313728.12 [Q92851-6];ENST00000346817.10 [Q92851-2];ENST00000374650.8 [Q92851-7];ENST00000448480.1 [Q92851-5];ENST00000492363.6 [Q92851-3];
Q92934,BAD_HUMAN,BAD BBC6 BCL2L8,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion outer membrane. Cytoplasm {ECO:0000250|UniProtKB:Q61337}. Note=Colocalizes with HIF3A in the cytoplasm (By similarity). Upon phosphorylation, locates to the cytoplasm. {ECO:0000250|UniProtKB:Q61337}.",BAD-BCL-2 complex [GO:0097138]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],GO:0001836; GO:0005543; GO:0005739; GO:0005741; GO:0005829; GO:0006007; GO:0006915; GO:0008289; GO:0008625; GO:0008630; GO:0008656; GO:0010508; GO:0010918; GO:0019221; GO:0019901; GO:0019903; GO:0032024; GO:0035774; GO:0042593; GO:0043065; GO:0043066; GO:0044342; GO:0045579; GO:0045582; GO:0045862; GO:0046031; GO:0046034; GO:0046902; GO:0046931; GO:0050679; GO:0071260; GO:0071316; GO:0071396; GO:0071456; GO:0090200; GO:0097138; GO:0097191; GO:0097192; GO:0097193; GO:0140608; GO:1902220; GO:2000078,ENST00000309032.8;ENST00000394532.7;
Q96JG6,VPS50_HUMAN,VPS50 CCDC132 KIAA1861,Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50),Homo sapiens (Human),SUBCELLULAR LOCATION: Recycling endosome {ECO:0000269|PubMed:25799061}. Membrane {ECO:0000250|UniProtKB:F1LSG8}. Note=Associates with membranes in an EIPR1-dependent manner. {ECO:0000250|UniProtKB:F1LSG8}.,EARP complex [GO:1990745]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037],GO:0000149; GO:0015031; GO:0016020; GO:0032456; GO:0048471; GO:0055037; GO:0070062; GO:1990745,ENST00000251739.9 [Q96JG6-2];ENST00000305866.10 [Q96JG6-1];ENST00000544910.5 [Q96JG6-3];
Q9Y5W9,SNX11_HUMAN,SNX11,Sorting nexin-11,Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26818531}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Endosome {ECO:0000269|PubMed:23615901}. Cytoplasm {ECO:0000269|PubMed:26818531}.,cytoplasm [GO:0005737]; endosome [GO:0005768]; plasma membrane [GO:0005886],GO:0005737; GO:0005768; GO:0005886; GO:0006886; GO:0016050; GO:1901981,ENST00000359238.7 [Q9Y5W9-1];ENST00000393405.6 [Q9Y5W9-1];ENST00000580219.5 [Q9Y5W9-2];ENST00000582104.5 [Q9Y5W9-2];
Q96Q42,ALS2_HUMAN,ALS2 ALS2CR6 KIAA1563,Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein),Homo sapiens (Human),,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; early endosome [GO:0005769]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; ruffle [GO:0001726]; vesicle [GO:0031982],GO:0001662; GO:0001726; GO:0001881; GO:0005085; GO:0005096; GO:0005634; GO:0005737; GO:0005769; GO:0005813; GO:0005829; GO:0006979; GO:0007032; GO:0007041; GO:0007528; GO:0007626; GO:0008104; GO:0014069; GO:0016197; GO:0030027; GO:0030425; GO:0030426; GO:0031267; GO:0031982; GO:0032991; GO:0035022; GO:0035249; GO:0042802; GO:0042803; GO:0043197; GO:0043231; GO:0043539; GO:0043547; GO:0045860; GO:0048812; GO:0051036; GO:0051260; GO:0098978; GO:0099072,ENST00000264276.11 [Q96Q42-1];ENST00000409632.7 [Q96Q42-2];ENST00000467448.5 [Q96Q42-2];ENST00000679435.1 [Q96Q42-1];ENST00000679503.1 [Q96Q42-2];ENST00000679516.1 [Q96Q42-1];ENST00000680163.1 [Q96Q42-1];ENST00000680188.1 [Q96Q42-2];ENST00000680861.1 [Q96Q42-1];
P48506,GSH1_HUMAN,GCLC GLCL GLCLC,Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase),Homo sapiens (Human),,cytosol [GO:0005829]; glutamate-cysteine ligase complex [GO:0017109]; mitochondrion [GO:0005739],GO:0000287; GO:0004357; GO:0005524; GO:0005739; GO:0005829; GO:0006534; GO:0006536; GO:0006750; GO:0006979; GO:0007584; GO:0009408; GO:0009410; GO:0009725; GO:0014823; GO:0016595; GO:0017109; GO:0019852; GO:0031397; GO:0032436; GO:0032869; GO:0035729; GO:0043066; GO:0043524; GO:0043531; GO:0044344; GO:0044752; GO:0044877; GO:0045454; GO:0045892; GO:0046685; GO:0046686; GO:0051409; GO:0051900; GO:0070555; GO:0071260; GO:0071333; GO:0071372; GO:0097069; GO:0097746; GO:1901029; GO:2000490; GO:2001237,ENST00000650454.1;
P78332,RBM6_HUMAN,RBM6 DEF3,RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,nucleus [GO:0005634],GO:0000398; GO:0003677; GO:0003723; GO:0005634; GO:0006396,ENST00000266022.9 [P78332-1];ENST00000422955.5 [P78332-2];ENST00000425608.5 [P78332-3];ENST00000442092.5 [P78332-2];
Q9P2G1,AKIB1_HUMAN,ANKIB1 KIAA1386,Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31),Homo sapiens (Human),,cytoplasm [GO:0005737]; ubiquitin ligase complex [GO:0000151],GO:0000151; GO:0005737; GO:0006511; GO:0008270; GO:0016567; GO:0031624; GO:0061630,ENST00000265742.8;
Q05084,ICA69_HUMAN,ICA1,Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12682071}. Golgi apparatus membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=Predominantly cytosolic. Also exists as a membrane-bound form which has been found associated with synaptic vesicles and also with the Golgi complex and immature secretory granules.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672],GO:0000139; GO:0005737; GO:0005794; GO:0005829; GO:0006836; GO:0019904; GO:0030667; GO:0030672; GO:0043231; GO:0051049; GO:0140090,ENST00000265577.11 [Q05084-3];ENST00000396675.7 [Q05084-1];ENST00000402384.8 [Q05084-1];ENST00000406470.6 [Q05084-1];ENST00000422063.6 [Q05084-2];
O60341,KDM1A_HUMAN,KDM1A AOF2 KDM1 KIAA0601 LSD1,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11102443, ECO:0000269|PubMed:16079795, ECO:0000269|PubMed:20389281, ECO:0000269|PubMed:33980486}. Chromosome {ECO:0000269|PubMed:16079795, ECO:0000269|PubMed:20228790, ECO:0000269|PubMed:27292636, ECO:0000269|PubMed:33980486}. Note=Associates with chromatin. {ECO:0000269|PubMed:16079795, ECO:0000269|PubMed:20228790, ECO:0000269|PubMed:27292636, ECO:0000269|PubMed:33980486}.","chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; DNA repair complex [GO:1990391]; histone methyltransferase complex [GO:0035097]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription regulator complex [GO:0005667]",GO:0000122; GO:0000781; GO:0000785; GO:0002039; GO:0002052; GO:0003682; GO:0003713; GO:0003714; GO:0005634; GO:0005654; GO:0005667; GO:0006357; GO:0010569; GO:0010718; GO:0010976; GO:0016491; GO:0019899; GO:0021987; GO:0031398; GO:0032452; GO:0032453; GO:0032454; GO:0032880; GO:0032991; GO:0034644; GO:0035097; GO:0036211; GO:0040029; GO:0042551; GO:0042802; GO:0043426; GO:0043518; GO:0045793; GO:0045944; GO:0046098; GO:0050660; GO:0050681; GO:0055001; GO:0060765; GO:0060992; GO:0061629; GO:0061752; GO:0071320; GO:0071480; GO:0120162; GO:0140297; GO:0140457; GO:0140682; GO:0140861; GO:0160217; GO:1902166; GO:1902254; GO:1990391; GO:1990841; GO:2000179; GO:2000648,ENST00000356634.7 [O60341-1];ENST00000400181.9 [O60341-2];
O00522,KRIT1_HUMAN,KRIT1 CCM1,Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein. Cell junction. Note=KRIT1 and CDH5 reciprocally regulate their localization to endothelial cell-cell junctions. Association with RAP1 relocalizes KRIT1 from microtubules to cell junction membranes. Translocates from the cytoplasm along microtubules to the cell membrane in a ITGB1BP1-dependent manner.",cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991],GO:0001525; GO:0001937; GO:0003158; GO:0005546; GO:0005615; GO:0005737; GO:0005856; GO:0005886; GO:0005911; GO:0007264; GO:0008017; GO:0010596; GO:0016525; GO:0030695; GO:0032991; GO:0033622; GO:0045454; GO:0045765; GO:2000114; GO:2000352,ENST00000340022.6 [O00522-1];ENST00000394503.6 [O00522-3];ENST00000394505.7 [O00522-1];ENST00000394507.5 [O00522-1];ENST00000412043.6 [O00522-1];ENST00000425073.2 [O00522-1];ENST00000444960.6 [O00522-1];ENST00000458177.7 [O00522-1];ENST00000686094.1 [O00522-1];ENST00000686527.1 [O00522-1];ENST00000687135.1 [O00522-1];ENST00000688404.1 [O00522-1];ENST00000688665.1 [O00522-1];ENST00000689556.1 [O00522-3];ENST00000690529.1 [O00522-1];ENST00000690720.1 [O00522-1];ENST00000690908.1 [O00522-3];ENST00000692157.1 [O00522-1];ENST00000692807.1 [O00522-1];
P08603,CFAH_HUMAN,CFH HF HF1 HF2,Complement factor H (H factor 1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Secreted.; SUBCELLULAR LOCATION: Note=(Microbial infection) In the mosquito midgut, localizes to P.falciparum (NF54 strain) macrogamete and young zygote cell membranes. {ECO:0000269|PubMed:23332154}.",blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase complex [GO:1905370]; symbiont cell surface [GO:0106139],GO:0001851; GO:0005576; GO:0005615; GO:0006508; GO:0006956; GO:0006957; GO:0008201; GO:0030449; GO:0030451; GO:0042802; GO:0043395; GO:0070062; GO:0072562; GO:0106139; GO:1903659; GO:1905370,ENST00000367429.9;
O43657,TSN6_HUMAN,TSPAN6 TM4SF6 UNQ767/PRO1560,Tetraspanin-6 (Tspan-6) (A15 homolog) (Putative NF-kappa-B-activating protein 321) (T245 protein) (Tetraspanin TM4-D) (Transmembrane 4 superfamily member 6),Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.,extracellular exosome [GO:0070062]; plasma membrane [GO:0005886],GO:0005886; GO:0039532; GO:0043123; GO:0043124; GO:0070062,ENST00000373020.9;
Q6P499,NPAL3_HUMAN,NIPAL3 NPAL3,NIPA-like protein 3,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,membrane [GO:0016020],GO:0015095; GO:0015693; GO:0016020,ENST00000003912.8 [Q6P499-2];ENST00000358028.8 [Q6P499-3];ENST00000374399.9 [Q6P499-1];
Q5TH74,STPG1_HUMAN,STPG1 C1orf201,O(6)-methylguanine-induced apoptosis 2 (MAPO2) (Sperm-tail PG-rich repeat-containing protein 1),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,mitochondrion [GO:0005739]; nucleus [GO:0005634],GO:0005634; GO:0005739; GO:0043065; GO:1902110,ENST00000003583.12 [Q5TH74-3];ENST00000337248.9 [Q5TH74-1];ENST00000374409.5 [Q5TH74-1];
A0A8I5KRT9,A0A8I5KRT9_HUMAN,CYP51A1,Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),Homo sapiens (Human),SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}. Microsome membrane {ECO:0000256|ARBA:ARBA00004111}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004111}.,intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020],GO:0004497; GO:0005506; GO:0016020; GO:0016125; GO:0016705; GO:0020037; GO:0043231; GO:0044283,ENST00000691309.1;
H7C0D0,H7C0D0_HUMAN,CYP51A1,Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P450LI),Homo sapiens (Human),SUBCELLULAR LOCATION: Microsome membrane {ECO:0000256|ARBA:ARBA00004111}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004111}.,endoplasmic reticulum membrane [GO:0005789],GO:0004497; GO:0005506; GO:0005789; GO:0008203; GO:0016705; GO:0020037; GO:0044283,ENST00000422867.1;
Q14TF0,Q14TF0_HUMAN,GCLC hCG_21942,Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (Gamma-glutamylcysteine synthetase),Homo sapiens (Human),,cytosol [GO:0005829]; glutamate-cysteine ligase complex [GO:0017109]; mitochondrion [GO:0005739],GO:0004357; GO:0005524; GO:0005739; GO:0005829; GO:0006750; GO:0006979; GO:0007584; GO:0009410; GO:0014823; GO:0017109; GO:0019852; GO:0031397; GO:0032436; GO:0032869; GO:0035729; GO:0043524; GO:0044344; GO:0044752; GO:0044877; GO:0046685; GO:0046686; GO:0051409; GO:0051900; GO:0070555; GO:0071260; GO:0071333; GO:0071372; GO:0097069; GO:1901029; GO:2000490; GO:2001237,
A0A140VK93,A0A140VK93_HUMAN,AK2,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)",Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000256|HAMAP-Rule:MF_03168}. Mitochondrion matrix {ECO:0000256|ARBA:ARBA00004305}.,mitochondrial intermembrane space [GO:0005758]; sperm mitochondrial sheath [GO:0097226],GO:0004017; GO:0005524; GO:0005758; GO:0006172; GO:0046033; GO:0046034; GO:0097226,
